Unnamed: 0,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
23,Lenovo Casual Laptop Backpack B210 15.6-inch(39.6cm) Water Repellent Black,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/61MUbvslk2L._AC_UL320_.jpg,https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sr_1_24?qid=1679218544&s=luggage&sr=1-24,4.2,54633.0,799.0,1790.0
10063,new balance Womens 680 Running Shoe,men's shoes,Sports Shoes,https://m.media-amazon.com/images/I/81w89FBnBhL._AC_UL320_.jpg,https://www.amazon.in/new-balance-Aluminium-Magnetic-W680AM6/dp/B0817BKGP1/ref=sr_1_10072?qid=1679147547&s=shoes&sr=1-10072,4.6,4951.0,3599.0,7999.0
100,"Lifebuoy Total 10 Germ Protection Liquid Handwash, Fights Bacteria & Viruses, Maintains Hand Hygiene, 5 Ltr",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/71xGO+Vg1yL._AC_UL320_.jpg,https://www.amazon.in/Lifebuoy-Protection-Handwash-Bacteria-Maintains/dp/B08ZYZ3D5G/ref=sr_1_941?qid=1679215351&s=hpc&sr=1-941,4.3,1793.0,562.5,750.0
4833,Avantika Fashion Women's Adorable Kanjivaram Soft Silk Saree With Blouse Piece,women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/41qGue1eb6L._AC_UL320_.jpg,https://www.amazon.in/Avantika-Fashion-Womens-Kanjivaram-Litchi/dp/B098XJ2Y69/ref=sr_1_4890?qid=1679154305&s=apparel&sr=1-4890,3.8,358.0,555.0,1999.0
1549,"Fire-Boltt Ring 3 Smart Watch 1.8 Biggest Display with Advanced Bluetooth Calling Chip, Voice Assistance,118 Sports Modes,...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61wde9OL-tL._AC_UL320_.jpg,https://www.amazon.in/Fire-Boltt-Bluetooth-Assistance-Calculator-Monitoring/dp/B0B3MY2VLD/ref=sr_1_1555?qid=1679133748&s=electronics&sr=1-1555,4.2,24154.0,1999.0,9999.0
192,"pTron Bassbuds Duo in Ear Earbuds with 32Hrs Total Playtime, Bluetooth 5.1 Wireless, Stereo Audio, Touch Control TWS, with...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51phrq2UojL._AC_UL320_.jpg,https://www.amazon.in/Bassbuds-Duo-Headphones-Water-Resistant-Assistance/dp/B09DD7N79Q/ref=sr_1_196?qid=1679133661&s=electronics&sr=1-196,3.5,166395.0,799.0,2599.0
533,"ULRIC DE VARENS Night Set for him, 300ml",beauty & health,Luxury Beauty,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81giNEBYaEL._AC_UL320_.jpg,https://www.amazon.in/ULRIC-VARENS-Night-Set-300ml/dp/B078ZWCYKP/ref=sr_1_3942?qid=1679215140&s=luxury-beauty&sr=1-3942,4.4,143.0,1120.0,1400.0
16459,SPERA Women Rayon Straight Kurta,women's clothing,Ethnic Wear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71n62XyO0XL._AC_UL320_.jpg,https://www.amazon.in/Spera-Black-Straight-Womens-Kurta_SPK1044-42/dp/B08BX2T45D/ref=sr_1_16612?qid=1679154735&s=apparel&sr=1-16612,3.5,33.0,,
2490,Plantronics Voyager Focus UC Wireless Bluetooth Over The Ear Headset with Mic (Black),"tv, audio & cameras",Headphones,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71nPqdFEGwS._AC_UL320_.jpg,https://www.amazon.in/Plantronics-Voyager-Bluetooth-Headset-Cancelling/dp/B013F4LJTI/ref=sr_1_2497?qid=1679128840&s=electronics&sr=1-2497,4.4,3646.0,24653.0,28999.0
2980,"Glassiano White Flower Printed Microwave Oven Cover for LG 32 Litre Convection Microwave Oven MC3286BRUM, Black",appliances,All Appliances,https://m.media-amazon.com/images/I/81G4W32QHxL._AC_UL320_.jpg,https://www.amazon.in/Glassiano-LG-32-Litre-MC3286BRUM/dp/B07BQ92645/ref=sr_1_2981?qid=1679135763&s=appliances&sr=1-2981,3.9,1513.0,299.0,799.0
87,Mi 100 cm (40 inches) Horizon Edition Full HD Android LED TV 4A | L40M6-EI (Black),"tv, audio & cameras",Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71k7M05go-L._AC_UL320_.jpg,https://www.amazon.in/inches-Horizon-Android-L40M6-EI-Black/dp/B09HQSV46W/ref=sr_1_94?qid=1679128063&s=electronics&sr=1-94,4.2,34286.0,21999.0,29999.0
